timestamp,trained_epochs,exit_status,exit_category,task,algo,avg_reward,avg_steps,checkpoint,test_episodes,num_envs,motion_file,total_episodes,run_id,pid,error_detail,seed,headless,start_time,end_time,duration_seconds,duration_human,command
2026-04-01T15:58:03,2001,completed,normal,HRLCTDEHumanoid,hrl_ctde,49.68660811090469,29.9,output/CTDE_2000_20260331-13-48-07/nn/CTDE_2000.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,500,b80cb81490d445fe808fcf9377e05685,401627,,4,True,2026-04-01T15:27:26,2026-04-01T15:58:03,1836.9,0h 30m 36s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/CTDE_2000_20260331-13-48-07/nn/CTDE_2000.pth --seed 4 --test_episodes 500 --headless
2026-04-02T10:16:52,5001,completed,normal,HRLCTDEHumanoid,hrl_ctde,49.97172818136215,30.456,output/CTDE_5000_20260401-13-07-32/nn/CTDE_5000.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,500,168dadfb94f944f2810b96d963316984,439911,,0,True,2026-04-02T09:45:43,2026-04-02T10:16:52,1868.4,0h 31m 8s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/CTDE_5000_20260401-13-07-32/nn/CTDE_5000.pth --seed 0 --test_episodes 500 --headless
2026-04-02T10:39:54,5001,keyboard_interrupt,interrupted,HRLCTDEHumanoid,hrl_ctde,,,output/CTDE_5000_20260401-13-07-32/nn/CTDE_5000.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,,24d9f9a6691a4a23ab3a4197bd15a03d,449690,interrupted by signal 2,1,True,2026-04-02T10:16:55,2026-04-02T10:39:54,1379.1,0h 22m 59s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/CTDE_5000_20260401-13-07-32/nn/CTDE_5000.pth --seed 1 --test_episodes 500 --headless
2026-04-02T10:40:00,5001,keyboard_interrupt,interrupted,HRLCTDEHumanoid,hrl_ctde,,,output/CTDE_5000_20260401-13-07-32/nn/CTDE_5000.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,,2680219a108d440da3b7ba787c6c2585,452248,interrupted by signal 2,2,True,2026-04-02T10:39:57,2026-04-02T10:40:00,3.0,0h 0m 3s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/CTDE_5000_20260401-13-07-32/nn/CTDE_5000.pth --seed 2 --test_episodes 500 --headless
2026-04-02T21:02:59,5001,completed,normal,HRLCTDEHumanoid,hrl_ctde,46.062641023159024,29.708,output/CTDE_5000_20260401-13-07-32/nn/CTDE_5000.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,500,208ececc2f9342d3ae107696e3723ad5,514765,,0,True,2026-04-02T20:33:35,2026-04-02T21:02:59,1763.9,0h 29m 23s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/CTDE_5000_20260401-13-07-32/nn/CTDE_5000.pth --seed 0 --test_episodes 500 --headless
2026-04-02T21:33:47,5001,completed,normal,HRLCTDEHumanoid,hrl_ctde,56.13401053452492,31.132,output/CTDE_5000_20260401-13-07-32/nn/CTDE_5000.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,500,23a5cc63e56d47c7ae258956b7fca203,525349,,1,True,2026-04-02T21:03:03,2026-04-02T21:33:47,1844.1,0h 30m 44s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/CTDE_5000_20260401-13-07-32/nn/CTDE_5000.pth --seed 1 --test_episodes 500 --headless
2026-04-02T22:02:53,5001,completed,normal,HRLCTDEHumanoid,hrl_ctde,47.39964394927025,29.354,output/CTDE_5000_20260401-13-07-32/nn/CTDE_5000.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,500,e20b69bfd7c042148ab2ede920673ffa,535447,,2,True,2026-04-02T21:33:50,2026-04-02T22:02:53,1743.5,0h 29m 3s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/CTDE_5000_20260401-13-07-32/nn/CTDE_5000.pth --seed 2 --test_episodes 500 --headless
2026-04-02T22:34:04,5001,completed,normal,HRLCTDEHumanoid,hrl_ctde,51.05218898200989,30.482,output/CTDE_5000_20260401-13-07-32/nn/CTDE_5000.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,500,3366cbbcc01a473e9000c560301b82c3,545164,,3,True,2026-04-02T22:02:57,2026-04-02T22:34:04,1867.1,0h 31m 7s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/CTDE_5000_20260401-13-07-32/nn/CTDE_5000.pth --seed 3 --test_episodes 500 --headless
2026-04-02T23:04:53,5001,completed,normal,HRLCTDEHumanoid,hrl_ctde,48.85349737405777,29.952,output/CTDE_5000_20260401-13-07-32/nn/CTDE_5000.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,500,9b0639dcb27e4818bc07cc93f1375c1d,554396,,4,True,2026-04-02T22:34:07,2026-04-02T23:04:53,1845.9,0h 30m 45s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/CTDE_5000_20260401-13-07-32/nn/CTDE_5000.pth --seed 4 --test_episodes 500 --headless
2026-04-03T09:13:39,8001,completed,normal,HRLCTDEHumanoid,hrl_ctde,54.573083798766135,31.312,output/CTDE_8000_20260402-09-45-21/nn/CTDE_8000.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,500,82f38c108ef44b1291dee475d05a1d24,647369,,0,True,2026-04-03T08:44:54,2026-04-03T09:13:39,1724.9,0h 28m 44s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/CTDE_8000_20260402-09-45-21/nn/CTDE_8000.pth --seed 0 --test_episodes 500 --headless
2026-04-03T09:42:06,8001,completed,normal,HRLCTDEHumanoid,hrl_ctde,53.2431068880558,31.078,output/CTDE_8000_20260402-09-45-21/nn/CTDE_8000.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,500,ed4d3fd7970048899e98be154baa364b,652525,,1,True,2026-04-03T09:13:42,2026-04-03T09:42:06,1703.3,0h 28m 23s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/CTDE_8000_20260402-09-45-21/nn/CTDE_8000.pth --seed 1 --test_episodes 500 --headless
2026-04-03T10:10:05,8001,completed,normal,HRLCTDEHumanoid,hrl_ctde,51.642935367822645,30.678,output/CTDE_8000_20260402-09-45-21/nn/CTDE_8000.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,500,32cca15a286f44bb86c9cb1572ef0298,657695,,2,True,2026-04-03T09:42:09,2026-04-03T10:10:05,1676.8,0h 27m 56s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/CTDE_8000_20260402-09-45-21/nn/CTDE_8000.pth --seed 2 --test_episodes 500 --headless
2026-04-03T10:37:27,8001,completed,normal,HRLCTDEHumanoid,hrl_ctde,48.21368872785568,29.718,output/CTDE_8000_20260402-09-45-21/nn/CTDE_8000.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,500,4642b58649534bbf874a9720e2381bf7,662641,,3,True,2026-04-03T10:10:08,2026-04-03T10:37:27,1638.4,0h 27m 18s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/CTDE_8000_20260402-09-45-21/nn/CTDE_8000.pth --seed 3 --test_episodes 500 --headless
2026-04-03T11:06:35,8001,completed,normal,HRLCTDEHumanoid,hrl_ctde,51.92676236343384,31.734,output/CTDE_8000_20260402-09-45-21/nn/CTDE_8000.pth,500,1,skillmimic/data/motions/BallPlay-M/pass,500,aeb1f2dbdec044d1911ab7ec9c608e3f,665149,,4,True,2026-04-03T10:37:30,2026-04-03T11:06:35,1745.2,0h 29m 5s,skillmimic/run.py --test --task HRLCTDEHumanoid --num_envs 1 --cfg_env skillmimic/data/cfg/hrl_ctde_humanoid.yaml --cfg_train skillmimic/data/cfg/train/rlg/hrl_ctde_humanoid.yaml --motion_file skillmimic/data/motions/BallPlay-M/pass --checkpoint output/CTDE_8000_20260402-09-45-21/nn/CTDE_8000.pth --seed 4 --test_episodes 500 --headless
